COBACIA,ire_cs_hum
7776631,"0,00"
77765763,"0,00"
7776583,"5,00"
7776562,"5,00"
77765761,"5,00"
7776582,"5,00"
7776577,"5,00"
77765762,"0,00"
777849,"4,40"
7776565,"0,00"
7778483,"0,00"
777659,"5,00"
777661,"5,00"
77786916,"0,00"
777672,"5,00"
7776523,"4,70"
7776732,"0,00"
7776572,"0,00"
777671,"5,00"
7776532,"5,00"
7776731,"0,00"
7776763,"5,00"
7776733,"0,00"
777675,"0,00"
7776761,"0,00"
7776762,"0,00"
7776741,"0,00"
7778663,"5,00"
7778584,"0,00"
7778585,"4,10"
7778662,"5,00"
7776575,"0,00"
7776574,"5,00"
7776573,"0,00"
7776561,"5,00"
7776571,"0,00"
7775659,"5,00"
7775657,"5,00"
77756561,"5,00"
7775655,"5,00"
77756564,"0,00"
77756562,"0,00"
77756563,"0,00"
7775654,"0,00"
7775663,"0,00"
77756422,"0,00"
77756423,"0,00"
7775661,"0,00"
77756533,"0,00"
77756741,"0,00"
77756723,"0,00"
7775675,"0,00"
7775673,"0,00"
77756721,"0,00"
77756621,"0,00"
7775677,"0,00"
77756793,"5,00"
7775671,"0,00"
77756623,"0,00"
7775676,"0,00"
77756622,"0,00"
77756722,"4,10"
77756584,"0,00"
77756582,"0,00"
77756583,"0,00"
77758262,"0,00"
77756742,"0,00"
77756581,"0,00"
77756585,"0,00"
77756745,"5,00"
77756743,"5,00"
77756744,"5,00"
77758263,"0,00"
77758283,"0,00"
77756782,"5,00"
77756783,"5,00"
77758944,"0,00"
7775898,"0,00"
77758945,"0,00"
77758993,"0,00"
77756781,"0,00"
77756791,"0,00"
7775682,"0,00"
77756792,"0,00"
77756921,"0,00"
7774622,"4,10"
77756725,"0,00"
7774623,"4,10"
7775681,"0,00"
77756724,"0,00"
7775691,"0,00"
77756922,"0,00"
77756931,"0,00"
77756923,"0,00"
777469,"4,10"
77758992,"0,00"
7775685,"0,00"
7775687,"0,00"
7775896,"0,00"
7775683,"0,00"
7776423,"4,12"
77756933,"0,00"
7775686,"0,00"
7775684,"0,00"
77756932,"0,00"
7775666,"0,00"
7774495,"0,00"
7775667,"4,10"
7775664,"0,00"
7774621,"4,10"
777456,"0,00"
7775648,"0,00"
7775665,"0,00"
77756565,"5,00"
77756493,"4,40"
77756492,"0,00"
7775643,"0,00"
7775646,"0,00"
7775696,"5,00"
7775694,"0,00"
777465,"0,00"
