cod_mun,Município,UF,Area equipada total   ,area_arroz,Area equipada por irrigação por Municipio (Café),Area equipada por Municipio (cana de açucar, Irrigada e Fertirrigada),Area equipada por irrigação por Municipio (Outras culturas),Area potencial de ser colhida irrigada por municipio por cultura  (Arroz ),Area potencial de ser colhida irrigada por municipio por cultura  (Café),Area potencial de ser colhida irrigada por municipio por cultura (Cana),Area potencial de ser colhida irrigada por municipio por cultura (Outras Culturas),Area potencial de ser colhida irrigada por municipio por cultura ,Valor da produção total do município (1000 R$) do Arroz ,Valor da produção total do município (1000 R$) do Café ,Valor da produção total do município (1000 R$) da cana de açucar (Irrigada e Fertirrigada) ,Valor da produção total do município (1000 R$) de Outras Culturas ,Valor da produção total do município (1000 R$) ,Area Colhida por municipio (ha) de arroz ,Area Colhida por municipio (ha) Café ,Area Colhida por municipio (ha) cana de açucar (Irrigada e Fertirrigada),Area Colhida  por municipio (ha) Outras Culturas  ,Area Colhida total  (ha) por municipio ,taxa_arroz,Taxa regional media de produção de Café (1000R$/ha) ,Taxa regional media de produção de Cana (1000R$/ha) ,Taxa regional media de produção de Demais culturas (1000R$/ha) ,Taxa regional media de produção (1000R$/ha) ,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Produção irrigada por Municipio (1000 R$)
2908804,Contendas do Sincorá,BA,446,0,18,0,428,0,18,0,1070,1088,-,"R$ 3.381,00","R$ 853,00","R$ 26.269,00","R$ 30.503,00",-,251,170,606,1027,0,"13,47011952","5,017647059","43,34818482","29,70107108","R$ 0,00","R$ 242,46","R$ 0,00","R$ 46.382,56","R$ 46.625,02",
2908903,Coração de Maria,BA,14,0,0,0,14,0,0,0,35,35,-,-,-,"R$ 2.672,00","R$ 2.672,00",-,-,-,2090,2090,0,0,0,"1,2784689","1,2784689","R$ 0,00","R$ 0,00","R$ 0,00","R$ 44,75","R$ 44,75",
2909000,Cordeiros,BA,95,0,0,0,95,0,0,0,"237,5","237,5",-,-,"R$ 239,00","R$ 272,00","R$ 511,00",-,-,72,454,526,0,0,"3,319444444","0,5991189427","0,9714828897","R$ 0,00","R$ 0,00","R$ 0,00","R$ 142,29","R$ 142,29",
2909109,Coribe,BA,1.078,0,0,0,1079,0,0,0,"2697,5","2697,5","R$ 20,00",-,"R$ 1.491,00","R$ 42.058,00","R$ 43.569,00",5,-,110,2135,2250,4,0,"13,55454545","19,69929742","19,364","R$ 0,00","R$ 0,00","R$ 0,00","R$ 53.138,85","R$ 53.138,85",
2909208,Coronel João Sá,BA,45,0,0,0,45,0,0,0,"112,5","112,5",-,-,-,"R$ 19.012,00","R$ 19.012,00",-,-,-,6801,6801,0,0,0,"2,795471254","2,795471254","R$ 0,00","R$ 0,00","R$ 0,00","R$ 314,49","R$ 314,49",
2909307,Correntina,BA,13.733,0,0,0,13.733,0,0,0,"34332,5","34332,5","R$ 290,00",-,"R$ 1.912,00","R$ 2.418.210,00","R$ 2.420.412,00",70,-,180,283411,283661,"4,142857143",0,"10,62222222","8,532519909","8,532762699","R$ 0,00","R$ 0,00","R$ 0,00","R$ 292.942,74","R$ 292.942,74",
2909406,Cotegipe,BA,761,0,0,0,761,0,0,0,"1902,5","1902,5",-,-,"R$ 45,00","R$ 14.362,00","R$ 14.407,00",-,-,25,3985,4010,0,0,"1,8","3,604015056","3,59276808","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6.856,64","R$ 6.856,64",
2909505,Cravolândia,BA,113,0,0,0,113,0,0,0,"282,5","282,5",-,"R$ 14,00",-,"R$ 2.957,00","R$ 2.971,00",-,1,-,212,213,0,14,0,"13,94811321","13,94835681","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.940,34","R$ 3.940,34",
2909604,Crisópolis,BA,43,0,0,0,43,0,0,0,"107,5","107,5",-,-,-,"R$ 15.698,00","R$ 15.698,00",-,-,-,5205,5205,0,0,0,"3,015946206","3,015946206","R$ 0,00","R$ 0,00","R$ 0,00","R$ 324,21","R$ 324,21",
2909703,Cristópolis,BA,90,0,0,0,90,0,0,0,225,225,-,-,"R$ 659,00","R$ 14.508,00","R$ 15.167,00",-,-,285,2849,3134,0,0,"2,312280702","5,092313092","4,839502234","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.145,77","R$ 1.145,77",
2909802,Cruz das Almas,BA,15,0,0,0,15,0,0,0,"37,5","37,5",-,-,-,"R$ 20.436,00","R$ 20.436,00",-,-,-,2520,2520,0,0,0,"8,10952381","8,10952381","R$ 0,00","R$ 0,00","R$ 0,00","R$ 304,11","R$ 304,11",
2909901,Curaçá,BA,4.204,0,0,0,4.204,0,0,0,10510,10510,-,-,-,"R$ 206.223,00","R$ 206.223,00",-,-,-,6675,6675,0,0,0,"30,89483146","30,89483146","R$ 0,00","R$ 0,00","R$ 0,00","R$ 324.704,68","R$ 324.704,68",
2910008,Dário Meira,BA,6,0,0,0,6,0,0,0,15,15,-,"R$ 11,00","R$ 131,00","R$ 54.777,00","R$ 54.919,00",-,2,65,3716,3783,0,"5,5","2,015384615","14,74085038","14,5173143","R$ 0,00","R$ 0,00","R$ 0,00","R$ 221,11","R$ 221,11",
2910057,Dias d'Ávila,BA,54,0,0,0,54,0,0,0,135,135,-,-,-,"R$ 504,00","R$ 504,00",-,-,-,39,39,0,0,0,"12,92307692","12,92307692","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.744,62","R$ 1.744,62",
2910107,Dom Basílio,BA,714,0,0,0,714,0,0,0,1785,1785,-,-,-,"R$ 45.827,00","R$ 45.827,00",-,-,-,2685,2685,0,0,0,"17,06778399","17,06778399","R$ 0,00","R$ 0,00","R$ 0,00","R$ 30.465,99","R$ 30.465,99",
2910206,Dom Macedo Costa,BA,0,0,0,0,0,0,0,0,0,0,-,-,"R$ 24,00","R$ 3.963,00","R$ 3.987,00",-,-,10,322,332,0,0,"2,4","12,30745342","12,00903614","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2910305,Elísio Medrado,BA,10,0,0,0,10,0,0,0,25,25,-,-,"R$ 1,00","R$ 11.686,00","R$ 11.687,00",-,-,1,1055,1056,0,0,1,"11,07677725","11,06723485","R$ 0,00","R$ 0,00","R$ 0,00","R$ 276,92","R$ 276,92",
2910404,Encruzilhada,BA,5.654,0,4.116,0,1.538,0,4116,0,3845,7961,-,"R$ 76.640,00","R$ 471,00","R$ 4.997,00","R$ 82.108,00",-,5562,100,3080,8742,0,"13,77921611","4,71","1,622402597","9,392358728","R$ 0,00","R$ 56.715,25","R$ 0,00","R$ 6.238,14","R$ 62.953,39",
2910503,Entre Rios,BA,145,0,0,0,145,0,0,0,"362,5","362,5",-,-,-,"R$ 31.738,00","R$ 31.738,00",-,-,-,3711,3711,0,0,0,"8,552411749","8,552411749","R$ 0,00","R$ 0,00","R$ 0,00","R$ 3.100,25","R$ 3.100,25",
2910602,Esplanada,BA,95,0,0,0,95,0,0,0,"237,5","237,5",-,-,-,"R$ 68.281,00","R$ 68.281,00",-,-,-,7881,7881,0,0,0,"8,66400203","8,66400203","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.057,70","R$ 2.057,70",
2910701,Euclides da Cunha,BA,110,0,0,0,110,0,0,0,275,275,-,-,-,"R$ 67.810,00","R$ 67.810,00",-,-,-,24845,24845,0,0,0,"2,729321795","2,729321795","R$ 0,00","R$ 0,00","R$ 0,00","R$ 750,56","R$ 750,56",
2910727,Eunápolis,BA,1.904,0,1.904,0,0,0,1904,0,0,1904,-,"R$ 235.470,00","R$ 167,00","R$ 63.826,00","R$ 299.463,00",-,4068,30,3217,7315,0,"57,88348083","5,566666667","19,84022381","40,93820916","R$ 0,00","R$ 110.210,15","R$ 0,00","R$ 0,00","R$ 110.210,15",
2910750,Fátima,BA,27,0,0,0,27,0,0,0,"67,5","67,5",-,-,-,"R$ 42.165,00","R$ 42.165,00",-,-,-,16198,16198,0,0,0,"2,603099148","2,603099148","R$ 0,00","R$ 0,00","R$ 0,00","R$ 175,71","R$ 175,71",
2910776,Feira da Mata,BA,280,0,0,0,280,0,0,0,700,700,-,-,"R$ 34,00","R$ 1.851,00","R$ 1.885,00",-,-,20,916,936,0,0,"1,7","2,020742358","2,013888889","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.414,52","R$ 1.414,52",
2910800,Feira de Santana,BA,254,0,0,0,254,0,0,0,635,635,-,-,-,"R$ 2.813,00","R$ 2.813,00",-,-,-,11010,11010,0,0,0,"0,2554950045","0,2554950045","R$ 0,00","R$ 0,00","R$ 0,00","R$ 162,24","R$ 162,24",
2910859,Filadélfia,BA,125,0,0,0,125,0,0,0,"312,5","312,5",-,-,-,"R$ 1.047,00","R$ 1.047,00",-,-,-,3599,3599,0,0,0,"0,2909141428","0,2909141428","R$ 0,00","R$ 0,00","R$ 0,00","R$ 90,91","R$ 90,91",
