cod_mun,Município,UF,Area equipada total   ,area_arroz,Area equipada por irrigação por Municipio (Café),Area equipada por Municipio (cana de açucar, Irrigada e Fertirrigada),Area equipada por irrigação por Municipio (Outras culturas),Area potencial de ser colhida irrigada por municipio por cultura  (Arroz ),Area potencial de ser colhida irrigada por municipio por cultura  (Café),Area potencial de ser colhida irrigada por municipio por cultura (Cana),Area potencial de ser colhida irrigada por municipio por cultura (Outras Culturas),Area potencial de ser colhida irrigada por municipio por cultura ,Valor da produção total do município (1000 R$) do Arroz ,Valor da produção total do município (1000 R$) do Café ,Valor da produção total do município (1000 R$) da cana de açucar (Irrigada e Fertirrigada) ,Valor da produção total do município (1000 R$) de Outras Culturas ,Valor da produção total do município (1000 R$) ,Area Colhida por municipio (ha) de arroz ,Area Colhida por municipio (ha) Café ,Area Colhida por municipio (ha) cana de açucar (Irrigada e Fertirrigada),Area Colhida  por municipio (ha) Outras Culturas  ,Area Colhida total  (ha) por municipio ,taxa_arroz,Taxa regional media de produção de Café (1000R$/ha) ,Taxa regional media de produção de Cana (1000R$/ha) ,Taxa regional media de produção de Demais culturas (1000R$/ha) ,Taxa regional media de produção (1000R$/ha) ,Produção irrigada por Municipio por cultura (Arroz) (1000 R$),Produção irrigada por Municipio por cultura (Café) (1000 R$),Produção irrigada por Municipio por cultura (Cana) (1000 R$),Produção irrigada por Municipio por cultura (Outras Culturas) (1000 R$),Produção irrigada por Municipio (1000 R$)
2927903,Santa Inês,BA,0,0,0,0,0,0,0,0,0,0,-,"R$ 270,00",-,"R$ 573,00","R$ 843,00",-,10,-,121,131,0,27,0,"4,73553719","6,435114504","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2928000,Santaluz,BA,47,0,0,0,47,0,0,0,"117,5","117,5",-,-,-,"R$ 39.430,00","R$ 39.430,00",-,-,-,13115,13115,0,0,0,"3,006481128","3,006481128","R$ 0,00","R$ 0,00","R$ 0,00","R$ 353,26","R$ 353,26",
2928059,Santa Luzia,BA,120,0,0,0,120,0,0,0,300,300,-,"R$ 14.832,00",-,"R$ 55.148,00","R$ 69.980,00",-,942,-,7788,8730,0,"15,74522293",0,"7,081150488","8,016036655","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.124,35","R$ 2.124,35",
2928109,Santa Maria da Vitória,BA,801,0,0,0,801,0,0,0,"2002,5","2002,5","R$ 10,00",-,"R$ 1.860,00","R$ 33.399,00","R$ 35.269,00",4,-,500,3728,4232,"2,5",0,"3,72","8,958959227","8,333884688","R$ 0,00","R$ 0,00","R$ 0,00","R$ 17.940,32","R$ 17.940,32",
2928208,Santana,BA,2.752,0,0,0,2.752,0,0,0,6880,6880,-,-,"R$ 1.802,00","R$ 64.222,00","R$ 66.024,00",-,-,330,5458,5788,0,0,"5,460606061","11,76658117","11,40704907","R$ 0,00","R$ 0,00","R$ 0,00","R$ 80.954,08","R$ 80.954,08",
2928307,Santanópolis,BA,0,0,0,0,0,0,0,0,0,0,-,-,-,"R$ 503,00","R$ 503,00",-,-,-,1637,1637,0,0,0,"0,3072693952","0,3072693952","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2928406,Santa Rita de Cássia,BA,131,0,0,0,131,0,0,0,"327,5","327,5","R$ 33,00",-,"R$ 232,00","R$ 11.709,00","R$ 11.974,00",20,-,120,4371,4511,"1,65",0,"1,933333333","2,678792038","2,654400355","R$ 0,00","R$ 0,00","R$ 0,00","R$ 877,30","R$ 877,30",
2928505,Santa Terezinha,BA,102,0,0,0,102,0,0,0,255,255,-,-,-,"R$ 1.044,00","R$ 1.044,00",-,-,-,370,370,0,0,0,"2,821621622","2,821621622","R$ 0,00","R$ 0,00","R$ 0,00","R$ 719,51","R$ 719,51",
2928604,Santo Amaro,BA,2.485,0,0,1.472,1.014,0,0,1472,2535,4007,-,-,"R$ 56,00","R$ 12.024,00","R$ 12.080,00",-,-,15,1016,1031,0,0,"3,733333333","11,83464567","11,71677983","R$ 0,00","R$ 0,00","R$ 5.495,47","R$ 30.000,83","R$ 35.496,29",
2928703,Santo Antônio de Jesus,BA,38,0,0,0,38,0,0,0,95,95,-,-,"R$ 161,00","R$ 29.632,00","R$ 29.793,00",-,-,30,2348,2378,0,0,"5,366666667","12,62010221","12,52859546","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.198,91","R$ 1.198,91",
2928802,Santo Estêvão,BA,116,0,0,0,116,0,0,0,290,290,-,-,-,"R$ 2.029,00","R$ 2.029,00",-,-,-,7040,7040,0,0,0,"0,2882102273","0,2882102273","R$ 0,00","R$ 0,00","R$ 0,00","R$ 83,58","R$ 83,58",
2928901,São Desidério,BA,51.935,0,2.218,0,49.717,0,2218,0,"124292,5","126510,5","R$ 35,00","R$ 81.567,00","R$ 197,00","R$ 6.561.025,00","R$ 6.642.824,00",10,1813,80,694222,696125,"3,5","44,9900717","2,4625","9,450903313","9,542573532","R$ 0,00","R$ 99.787,98","R$ 0,00","R$ 1.174.676,40","R$ 1.274.464,38",
2928950,São Domingos,BA,19,0,0,0,19,0,0,0,"47,5","47,5",-,-,-,"R$ 8.104,00","R$ 8.104,00",-,-,-,2700,2700,0,0,0,"3,001481481","3,001481481","R$ 0,00","R$ 0,00","R$ 0,00","R$ 142,57","R$ 142,57",
2929008,São Félix,BA,14,0,0,0,14,0,0,0,35,35,-,-,"R$ 1,00","R$ 7.257,00","R$ 7.258,00",-,-,1,687,688,0,0,1,"10,56331878","10,5494186","R$ 0,00","R$ 0,00","R$ 0,00","R$ 369,72","R$ 369,72",
2929057,São Félix do Coribe,BA,4.045,0,0,0,4.045,0,0,0,"10112,5","10112,5",-,-,"R$ 542,00","R$ 46.693,00","R$ 47.235,00",-,-,40,2132,2172,0,0,"13,55","21,90103189","21,74723757","R$ 0,00","R$ 0,00","R$ 0,00","R$ 221.474,19","R$ 221.474,19",
2929107,São Felipe,BA,35,0,0,0,35,0,0,0,"87,5","87,5",-,-,"R$ 605,00","R$ 11.928,00","R$ 12.533,00",-,-,100,1687,1787,0,0,"6,05","7,070539419","7,01343033","R$ 0,00","R$ 0,00","R$ 0,00","R$ 618,67","R$ 618,67",
2929206,São Francisco do Conde,BA,42,0,0,0,42,0,0,0,105,105,-,-,"R$ 119,00","R$ 6.594,00","R$ 6.713,00",-,-,30,300,330,0,0,"3,966666667","21,98","20,34242424","R$ 0,00","R$ 0,00","R$ 0,00","R$ 2.307,90","R$ 2.307,90",
2929255,São Gabriel,BA,538,0,0,0,538,0,0,0,1345,1345,-,-,-,"R$ 12.053,00","R$ 12.053,00",-,-,-,3851,3851,0,0,0,"3,129836406","3,129836406","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.209,63","R$ 4.209,63",
2929305,São Gonçalo dos Campos,BA,39,0,0,0,39,0,0,0,"97,5","97,5",-,-,-,"R$ 2.873,00","R$ 2.873,00",-,-,-,1400,1400,0,0,0,"2,052142857","2,052142857","R$ 0,00","R$ 0,00","R$ 0,00","R$ 200,08","R$ 200,08",
2929354,São José da Vitória,BA,0,0,0,0,0,0,0,0,0,0,-,"R$ 272,00",-,"R$ 21.435,00","R$ 21.707,00",-,10,-,2993,3003,0,"27,2",0,"7,161710658","7,228438228","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2929370,São José do Jacuípe,BA,30,0,0,0,30,0,0,0,75,75,-,-,-,"R$ 226,00","R$ 226,00",-,-,-,171,171,0,0,0,"1,321637427","1,321637427","R$ 0,00","R$ 0,00","R$ 0,00","R$ 99,12","R$ 99,12",
2929404,São Miguel das Matas,BA,13,0,0,0,13,0,0,0,"32,5","32,5",-,-,-,"R$ 94.285,00","R$ 94.285,00",-,-,-,4510,4510,0,0,0,"20,90576497","20,90576497","R$ 0,00","R$ 0,00","R$ 0,00","R$ 679,44","R$ 679,44",
2929503,São Sebastião do Passé,BA,391,0,0,216,175,0,0,216,"437,5","653,5",-,-,"R$ 114,00","R$ 2.408,00","R$ 2.522,00",-,-,10,364,374,0,0,"11,4","6,615384615","6,743315508","R$ 0,00","R$ 0,00","R$ 2.462,40","R$ 2.894,23","R$ 5.356,63",
2929602,Sapeaçu,BA,0,0,0,0,0,0,0,0,0,0,-,-,-,"R$ 19.820,00","R$ 19.820,00",-,-,-,2595,2595,0,0,0,"7,637764933","7,637764933","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2929701,Sátiro Dias,BA,1.010,0,0,0,1.010,0,0,0,2525,2525,-,-,-,"R$ 96.389,00","R$ 96.389,00",-,-,-,11623,11623,0,0,0,"8,292953626","8,292953626","R$ 0,00","R$ 0,00","R$ 0,00","R$ 20.939,71","R$ 20.939,71",
2929750,Saubara,BA,66,0,0,0,66,0,0,0,165,165,-,-,-,"R$ 307,00","R$ 307,00",-,-,-,109,109,0,0,0,"2,816513761","2,816513761","R$ 0,00","R$ 0,00","R$ 0,00","R$ 464,72","R$ 464,72",
2929800,Saúde,BA,255,0,0,0,255,0,0,0,"637,5","637,5",-,-,-,"R$ 1.514,00","R$ 1.514,00",-,-,-,794,794,0,0,0,"1,906801008","1,906801008","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.215,59","R$ 1.215,59",
2929909,Seabra,BA,716,0,0,0,716,0,0,0,1790,1790,"R$ 2,00","R$ 5.212,00",-,"R$ 10.486,00","R$ 15.700,00",1,1442,-,2047,3490,2,"3,614424411",0,"5,122618466","4,498567335","R$ 0,00","R$ 0,00","R$ 0,00","R$ 9.169,49","R$ 9.169,49",
2930006,Sebastião Laranjeiras,BA,2.321,0,0,0,2.321,0,0,0,"5802,5","5802,5",-,-,"R$ 307,00","R$ 13.680,00","R$ 13.987,00",-,-,70,1589,1659,0,0,"4,385714286","8,609188169","8,43098252","R$ 0,00","R$ 0,00","R$ 0,00","R$ 49.954,81","R$ 49.954,81",
2930105,Senhor do Bonfim,BA,92,0,0,0,92,0,0,0,230,230,-,"R$ 27,00","R$ 3,00","R$ 2.370,00","R$ 2.400,00",-,2,3,3339,3344,0,"13,5",1,"0,7097933513","0,7177033493","R$ 0,00","R$ 0,00","R$ 0,00","R$ 163,25","R$ 163,25",
2930154,Serra do Ramalho,BA,4.397,0,0,0,4.396,0,0,0,10990,10990,-,-,"R$ 9,00","R$ 151.807,00","R$ 151.816,00",-,-,2,16148,16150,0,0,"4,5","9,400978449","9,400371517","R$ 0,00","R$ 0,00","R$ 0,00","R$ 103.316,75","R$ 103.316,75",
2930204,Sento Sé,BA,3.716,0,0,0,3.716,0,0,0,9290,9290,-,-,-,"R$ 171.860,00","R$ 171.860,00",-,-,-,5388,5388,0,0,0,"31,89680772","31,89680772","R$ 0,00","R$ 0,00","R$ 0,00","R$ 296.321,34","R$ 296.321,34",
2930303,Serra Dourada,BA,127,0,0,0,127,0,0,0,"317,5","317,5",-,-,"R$ 365,00","R$ 890,00","R$ 1.255,00",-,-,60,951,1011,0,0,"6,083333333","0,9358569926","1,241345203","R$ 0,00","R$ 0,00","R$ 0,00","R$ 297,13","R$ 297,13",
2930402,Serra Preta,BA,8,0,0,0,8,0,0,0,20,20,-,-,-,"R$ 449,00","R$ 449,00",-,-,-,1590,1590,0,0,0,"0,2823899371","0,2823899371","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5,65","R$ 5,65",
2930501,Serrinha,BA,113,0,0,0,113,0,0,0,"282,5","282,5",-,-,-,"R$ 2.298,00","R$ 2.298,00",-,-,-,508,508,0,0,0,"4,523622047","4,523622047","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.277,92","R$ 1.277,92",
2930600,Serrolândia,BA,60,0,0,0,60,0,0,0,150,150,-,-,-,"R$ 782,00","R$ 782,00",-,-,-,735,735,0,0,0,"1,063945578","1,063945578","R$ 0,00","R$ 0,00","R$ 0,00","R$ 159,59","R$ 159,59",
2930709,Simões Filho,BA,40,0,0,0,40,0,0,0,100,100,-,-,"R$ 18,00","R$ 1.599,00","R$ 1.617,00",-,-,3,212,215,0,0,6,"7,54245283","7,520930233","R$ 0,00","R$ 0,00","R$ 0,00","R$ 754,25","R$ 754,25",
2930758,Sítio do Mato,BA,808,0,0,0,808,0,0,0,2020,2020,-,-,"R$ 4,00","R$ 4.982,00","R$ 4.986,00",-,-,3,2199,2202,0,0,"1,333333333","2,265575261","2,264305177","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.576,46","R$ 4.576,46",
2930766,Sítio do Quinto,BA,18,0,0,0,18,0,0,0,45,45,-,-,-,"R$ 17.139,00","R$ 17.139,00",-,-,-,9902,9902,0,0,0,"1,730862452","1,730862452","R$ 0,00","R$ 0,00","R$ 0,00","R$ 77,89","R$ 77,89",
2930774,Sobradinho,BA,2.724,0,0,0,2.724,0,0,0,6810,6810,-,-,-,"R$ 55.058,00","R$ 55.058,00",-,-,-,1653,1653,0,0,0,"33,30792498","33,30792498","R$ 0,00","R$ 0,00","R$ 0,00","R$ 226.826,97","R$ 226.826,97",
2930808,Souto Soares,BA,309,0,0,0,309,0,0,0,"772,5","772,5",-,"R$ 1.464,00","R$ 85,00","R$ 11.338,00","R$ 12.887,00",-,150,27,4670,4847,0,"9,76","3,148148148","2,427837259","2,658757995","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.875,50","R$ 1.875,50",
2930907,Tabocas do Brejo Velho,BA,9,0,0,0,9,0,0,0,"22,5","22,5",-,-,"R$ 331,00","R$ 8.175,00","R$ 8.506,00",-,-,45,2647,2692,0,0,"7,355555556","3,088401964","3,159732541","R$ 0,00","R$ 0,00","R$ 0,00","R$ 69,49","R$ 69,49",
2931004,Tanhaçu,BA,451,0,33,0,418,0,33,0,1045,1078,-,"R$ 3.630,00","R$ 624,00","R$ 88.372,00","R$ 92.626,00",-,103,100,3443,3646,0,"35,24271845","6,24","25,66715074","25,40482721","R$ 0,00","R$ 1.163,01","R$ 0,00","R$ 26.822,17","R$ 27.985,18",
2931053,Tanque Novo,BA,94,0,0,0,94,0,0,0,235,235,-,-,"R$ 18,00","R$ 2.687,00","R$ 2.705,00",-,-,3,1905,1908,0,0,6,"1,410498688","1,417714885","R$ 0,00","R$ 0,00","R$ 0,00","R$ 331,47","R$ 331,47",
2931103,Tanquinho,BA,0,0,0,0,0,0,0,0,0,0,-,-,-,"R$ 579,00","R$ 579,00",-,-,-,3981,3981,0,0,0,"0,145440844","0,145440844","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2931202,Taperoá,BA,17,0,0,0,17,0,0,0,"42,5","42,5",-,"R$ 1.347,00","R$ 2,00","R$ 67.875,00","R$ 69.224,00",-,84,1,6513,6598,0,"16,03571429",2,"10,42146476","10,49166414","R$ 0,00","R$ 0,00","R$ 0,00","R$ 442,91","R$ 442,91",
2931301,Tapiramutá,BA,70,0,0,0,70,0,0,0,175,175,-,"R$ 2.395,00",-,"R$ 4.790,00","R$ 7.185,00",-,258,-,1661,1919,0,"9,282945736",0,"2,883804937","3,744137572","R$ 0,00","R$ 0,00","R$ 0,00","R$ 504,67","R$ 504,67",
2931350,Teixeira de Freitas,BA,3.200,0,260,377,2.563,0,260,377,"6407,5","7044,5",-,"R$ 144.140,00","R$ 1.408,00","R$ 25.805,00","R$ 171.353,00",-,2902,200,1443,4545,0,"49,66919366","7,04","17,88288288","37,70143014","R$ 0,00","R$ 12.913,99","R$ 2.654,08","R$ 114.584,57","R$ 130.152,64",
2931400,Teodoro Sampaio,BA,21,0,0,0,21,0,0,0,"52,5","52,5",-,-,-,"R$ 196,00","R$ 196,00",-,-,-,51,51,0,0,0,"3,843137255","3,843137255","R$ 0,00","R$ 0,00","R$ 0,00","R$ 201,76","R$ 201,76",
2931509,Teofilândia,BA,13,0,0,0,13,0,0,0,"32,5","32,5",-,-,-,"R$ 10.014,00","R$ 10.014,00",-,-,-,1689,1689,0,0,0,"5,928952043","5,928952043","R$ 0,00","R$ 0,00","R$ 0,00","R$ 192,69","R$ 192,69",
2931608,Teolândia,BA,67,0,0,0,67,0,0,0,"167,5","167,5",-,"R$ 108,00",-,"R$ 330.895,00","R$ 331.003,00",-,6,-,10429,10435,0,18,0,"31,72835363","31,72045999","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.314,50","R$ 5.314,50",
2931707,Terra Nova,BA,771,0,0,771,0,0,0,771,0,771,-,-,"R$ 69,00","R$ 735,00","R$ 804,00",-,-,7,121,128,0,0,"9,857142857","6,074380165","6,28125","R$ 0,00","R$ 0,00","R$ 7.599,86","R$ 0,00","R$ 7.599,86",
2931806,Tremedal,BA,85,0,0,0,85,0,0,0,"212,5","212,5",-,"R$ 90,00","R$ 147,00","R$ 2.134,00","R$ 2.371,00",-,10,20,1904,1934,0,9,"7,35","1,120798319","1,225956567","R$ 0,00","R$ 0,00","R$ 0,00","R$ 238,17","R$ 238,17",
2931905,Tucano,BA,489,0,0,0,489,0,0,0,"1222,5","1222,5",-,-,-,"R$ 63.904,00","R$ 63.904,00",-,-,-,12582,12582,0,0,0,"5,079001749","5,079001749","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6.209,08","R$ 6.209,08",
2932002,Uauá,BA,272,0,0,0,272,0,0,0,680,680,-,-,-,"R$ 9.065,00","R$ 9.065,00",-,-,-,7776,7776,0,0,0,"1,165766461","1,165766461","R$ 0,00","R$ 0,00","R$ 0,00","R$ 792,72","R$ 792,72",
2932101,Ubaíra,BA,114,0,1,0,113,0,1,0,"282,5","283,5",-,"R$ 351,00","R$ 2,00","R$ 73.288,00","R$ 73.641,00",-,19,2,5336,5357,0,"18,47368421",1,"13,73463268","13,74668658","R$ 0,00","R$ 18,47","R$ 0,00","R$ 3.880,03","R$ 3.898,51",
2932200,Ubaitaba,BA,280,0,0,0,280,0,0,0,700,700,-,-,-,"R$ 25.808,00","R$ 25.808,00",-,-,-,2793,2793,0,0,0,"9,240243466","9,240243466","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6.468,17","R$ 6.468,17",
2932309,Ubatã,BA,0,0,0,0,0,0,0,0,0,0,-,"R$ 63,00",-,"R$ 73.869,00","R$ 73.932,00",-,5,-,5763,5768,0,"12,6",0,"12,81780323","12,81761442","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2932408,Uibaí,BA,875,0,0,0,875,0,0,0,"2187,5","2187,5",-,-,-,"R$ 12.365,00","R$ 12.365,00",-,-,-,3649,3649,0,0,0,"3,388599616","3,388599616","R$ 0,00","R$ 0,00","R$ 0,00","R$ 7.412,56","R$ 7.412,56",
2932457,Umburanas,BA,920,0,0,0,920,0,0,0,2300,2300,-,-,-,"R$ 14.245,00","R$ 14.245,00",-,-,-,3661,3661,0,0,0,"3,891013384","3,891013384","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.949,33","R$ 8.949,33",
2932507,Una,BA,368,0,0,0,368,0,0,0,920,920,-,"R$ 24.084,00","R$ 42,00","R$ 227.110,00","R$ 251.236,00",-,446,12,24394,24852,0,54,"3,5","9,310076248","10,10928698","R$ 0,00","R$ 0,00","R$ 0,00","R$ 8.565,27","R$ 8.565,27",
2932606,Urandi,BA,1.338,0,0,0,1.338,0,0,0,3345,3345,-,"R$ 34,00","R$ 13,00","R$ 2.737,00","R$ 2.784,00",-,5,8,1642,1655,0,"6,8","1,625","1,666869671","1,682175227","R$ 0,00","R$ 0,00","R$ 0,00","R$ 5.575,68","R$ 5.575,68",
2932705,Uruçuca,BA,21,0,0,0,21,0,0,0,"52,5","52,5",-,"R$ 1.855,00","R$ 19,00","R$ 232.680,00","R$ 234.554,00",-,38,8,22189,22235,0,"48,81578947","2,375","10,48627698","10,5488644","R$ 0,00","R$ 0,00","R$ 0,00","R$ 550,53","R$ 550,53",
2932804,Utinga,BA,811,0,353,0,458,0,353,0,1145,1498,-,"R$ 2.380,00","R$ 93,00","R$ 24.360,00","R$ 26.833,00",-,250,45,1085,1380,0,"9,52","2,066666667","22,4516129","19,4442029","R$ 0,00","R$ 3.360,56","R$ 0,00","R$ 25.707,10","R$ 29.067,66",
2932903,Valença,BA,196,0,0,0,196,0,0,0,490,490,-,"R$ 2.774,00","R$ 22,00","R$ 217.015,00","R$ 219.811,00",-,127,8,16957,17092,0,"21,84251969","2,75","12,79795954","12,86046103","R$ 0,00","R$ 0,00","R$ 0,00","R$ 6.271,00","R$ 6.271,00",
2933000,Valente,BA,34,0,0,0,34,0,0,0,85,85,-,-,-,"R$ 13.701,00","R$ 13.701,00",-,-,-,3430,3430,0,0,0,"3,994460641","3,994460641","R$ 0,00","R$ 0,00","R$ 0,00","R$ 339,53","R$ 339,53",
2933059,Várzea da Roça,BA,282,0,0,0,282,0,0,0,705,705,-,-,-,"R$ 4.790,00","R$ 4.790,00",-,-,-,2813,2813,0,0,0,"1,70280839","1,70280839","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.200,48","R$ 1.200,48",
2933109,Várzea do Poço,BA,20,0,0,0,20,0,0,0,50,50,-,-,-,"R$ 1.389,00","R$ 1.389,00",-,-,-,1856,1856,0,0,0,"0,7483836207","0,7483836207","R$ 0,00","R$ 0,00","R$ 0,00","R$ 37,42","R$ 37,42",
2933158,Várzea Nova,BA,568,0,0,0,568,0,0,0,1420,1420,-,-,-,"R$ 50.490,00","R$ 50.490,00",-,-,-,6725,6725,0,0,0,"7,507806691","7,507806691","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.661,09","R$ 10.661,09",
2933174,Varzedo,BA,0,0,0,0,0,0,0,0,0,0,-,-,"R$ 1,00","R$ 33.114,00","R$ 33.115,00",-,-,1,1938,1939,0,0,1,"17,08668731","17,07839092","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2933208,Vera Cruz,BA,0,0,0,0,0,0,0,0,0,0,-,-,"R$ 9,00","R$ 2.721,00","R$ 2.730,00",-,-,4,209,213,0,0,"2,25","13,01913876","12,81690141","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00",
2933257,Vereda,BA,555,0,108,0,447,0,108,0,"1117,5","1225,5",-,"R$ 10.626,00","R$ 611,00","R$ 4.110,00","R$ 15.347,00",-,295,80,180,555,0,"36,02033898","7,6375","22,83333333","27,65225225","R$ 0,00","R$ 3.890,20","R$ 0,00","R$ 25.516,25","R$ 29.406,45",
2933307,Vitória da Conquista,BA,3.631,0,1.931,0,1.700,0,1931,0,4250,6181,-,"R$ 63.536,00","R$ 202,00","R$ 18.622,00","R$ 82.360,00",-,5491,65,4699,10255,0,"11,57093426","3,107692308","3,962970845","8,031204291","R$ 0,00","R$ 22.343,47","R$ 0,00","R$ 16.842,63","R$ 39.186,10",
2933406,Wagner,BA,894,0,0,0,894,0,0,0,2235,2235,-,"R$ 329,00","R$ 52,00","R$ 33.701,00","R$ 34.082,00",-,35,15,1082,1132,0,"9,4","3,466666667","31,14695009","30,10777385","R$ 0,00","R$ 0,00","R$ 0,00","R$ 69.613,43","R$ 69.613,43",
2933455,Wanderley,BA,209,0,0,0,209,0,0,0,"522,5","522,5",-,-,"R$ 42,00","R$ 32.661,00","R$ 32.703,00",-,-,20,4039,4059,0,0,"2,1","8,086407527","8,056910569","R$ 0,00","R$ 0,00","R$ 0,00","R$ 4.225,15","R$ 4.225,15",
2933505,Wenceslau Guimarães,BA,432,0,0,0,432,0,0,0,1080,1080,-,"R$ 2.764,00",-,"R$ 521.171,00","R$ 523.935,00",-,112,-,14744,14856,0,"24,67857143",0,"35,34800597","35,26756866","R$ 0,00","R$ 0,00","R$ 0,00","R$ 38.175,85","R$ 38.175,85",
2933604,Xique-Xique,BA,2.317,0,0,0,2.317,0,0,0,"5792,5","5792,5",-,-,-,"R$ 10.206,00","R$ 10.206,00",-,-,-,1575,1575,0,0,0,"6,48","6,48","R$ 0,00","R$ 0,00","R$ 0,00","R$ 37.535,40","R$ 37.535,40",
3100104,Abadia dos Dourados,MG,434,0,216,0,217,0,216,0,"542,5","758,5",-,"R$ 12.314,00","R$ 66,00","R$ 47.515,00","R$ 59.895,00",-,224,10,7920,8154,0,"54,97321429","6,6","5,999368687","7,345474614","R$ 0,00","R$ 11.874,21","R$ 0,00","R$ 3.254,66","R$ 15.128,87",
3100203,Abaeté,MG,1.687,0,64,0,1624,0,64,0,4060,4124,"R$ 8,00","R$ 4.365,00","R$ 1.517,00","R$ 10.408,00","R$ 16.298,00",3,60,158,1308,1529,"2,666666667","72,75","9,601265823","7,957186544","10,65925441","R$ 0,00","R$ 4.656,00","R$ 0,00","R$ 32.306,18","R$ 36.962,18",
3100302,Abre Campo,MG,85,0,0,0,85,0,0,0,"212,5","212,5",-,"R$ 103.781,00","R$ 1.512,00","R$ 2.857,00","R$ 108.150,00",-,4100,270,734,5104,0,"25,31243902","5,6","3,892370572","21,18926332","R$ 0,00","R$ 0,00","R$ 0,00","R$ 827,13","R$ 827,13",
3100401,Acaiaca,MG,6,0,0,0,6,0,0,0,15,15,-,"R$ 101,00","R$ 238,00","R$ 546,00","R$ 885,00",-,4,40,158,202,0,"25,25","5,95","3,455696203","4,381188119","R$ 0,00","R$ 0,00","R$ 0,00","R$ 51,84","R$ 51,84",
3100500,Açucena,MG,300,0,0,0,300,0,0,0,750,750,-,"R$ 86,00","R$ 449,00","R$ 1.677,00","R$ 2.212,00",-,3,68,124,195,0,"28,66666667","6,602941176","13,52419355","11,34358974","R$ 0,00","R$ 0,00","R$ 0,00","R$ 10.143,15","R$ 10.143,15",
3100609,Água Boa,MG,304,0,45,0,259,0,45,0,"647,5","692,5",-,"R$ 87.449,00","R$ 851,00","R$ 8.817,00","R$ 97.117,00",-,2590,135,1362,4087,0,"33,76409266","6,303703704","6,473568282","23,76241742","R$ 0,00","R$ 1.519,38","R$ 0,00","R$ 4.191,64","R$ 5.711,02",
3100708,Água Comprida,MG,925,0,0,300,625,0,0,300,"1562,5","1862,5",-,-,"R$ 268.863,00","R$ 100.738,00","R$ 369.601,00",-,-,25000,23412,48412,0,0,"10,75452","4,302836152","7,634491448","R$ 0,00","R$ 0,00","R$ 3.226,36","R$ 6.723,18","R$ 9.949,54",
3100807,Aguanil,MG,660,0,224,0,436,0,224,0,1090,1314,-,"R$ 76.103,00","R$ 316,00","R$ 15.125,00","R$ 91.544,00",-,1917,51,2200,4168,0,"39,69900887","6,196078431","6,875","21,96353167","R$ 0,00","R$ 8.892,58","R$ 0,00","R$ 7.493,75","R$ 16.386,33",
3100906,Águas Formosas,MG,10,0,0,0,10,0,0,0,25,25,-,-,"R$ 158,00","R$ 2.707,00","R$ 2.865,00",-,-,17,351,368,0,0,"9,294117647","7,712250712","7,785326087","R$ 0,00","R$ 0,00","R$ 0,00","R$ 192,81","R$ 192,81",
3101003,Águas Vermelhas,MG,1.716,0,0,0,1.716,0,0,0,4290,4290,-,"R$ 52.340,00",-,"R$ 5.306,00","R$ 57.646,00",-,798,-,484,1282,0,"65,58897243",0,"10,96280992","44,96567863","R$ 0,00","R$ 0,00","R$ 0,00","R$ 47.030,45","R$ 47.030,45",
3101102,Aimorés,MG,4.426,191,135,0,4.100,382,135,0,10250,10767,"R$ 1.162,00","R$ 59.383,00","R$ 158,00","R$ 14.727,00","R$ 75.430,00",205,1650,15,663,2533,"5,668292683","35,98969697","10,53333333","22,21266968","29,77891828","R$ 2.165,29","R$ 4.858,61","R$ 0,00","R$ 227.679,86","R$ 234.703,76",
3101201,Aiuruoca,MG,67,0,0,0,67,0,0,0,"167,5","167,5",-,"R$ 360,00","R$ 297,00","R$ 11.493,00","R$ 12.150,00",-,10,44,1843,1897,0,36,"6,75","6,236028215","6,404849763","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.044,53","R$ 1.044,53",
