fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,disp/dem,,,,dmu_nu_popurbana,ihu_nu_popriscoinerente,ihu_nu_popriscoposdeficit,ihu_nu_popriscototal,ihu_cs_ish,area_setor,area_otto,area_scbc,deman_indus,densidade,pop_urb_scbc,pop_urb_bacia,perc_scbc,ihu_rel,ire_cs_hum,
Chave primária única da poção do setor cencitário,Código da respectiva ottobacia (BHO 2017) onde está a porção do setor censitário.,Código IBGE da porção do setor cencitário,Tipo de setor censitário (rural,Código do município,Nome do município,Unidade da Federação,"Situação do setor, se é urbana (1, 2 e 3) ou rural (demais valores)",disp_q95,dem_ret20,dem_acm,bal_perc,Inverso do balaço Hídrico (adm),Fator iminente,Fator pós deificit,Fator de Risco ,VAB - Municipio ,VAB (mil R$) Risco inerente, Valor de população (nº habitantes) em risco pós-déficit., Valor de população (nº habitantes) em risco total.,Classe (1-5) do Índice de Segurança Hídrica do município associado à sua população urbana (depende da projeção da população urbana de 2035),Área total do setor censitário (km²) ,Área total da ottobacia (km²) ,Área do setor censitário interno à ottobacia (km²),Demanda industrial por BHO (m³/s) (tabela balanços  2020),Densidade da demanda industrial na BHO (m³/s . km²) (tabela balanços 2020),Demanda industrial estimada da porção do setor cencitário interno à ottobacia (m³/s) ,Demanda industrial estimada para a ottobacia (m³/s) ,Percentual da demanda industrial na porção do setor cencitário que está na ottobacia em relação à demanda industrial total da ottobacia,Classe (1-5) do Índice de Segurança Hídrica associado à população urbana da porção do setor censitário interno a cada ottobacia.,Classe (1-5) do Índice de Segurança Hídrica da ottobacia associado à sua população urbana.,
139,77618861,320010213000001,Urbana,3200102,Afonso Cláudio,Espírito Santo,1,"0,166","0,011","0,016","9,812","10,19131902","0,003","0,000","0,003",48.980,157,0,157,"3,00","0,4136846968","8,590085233","0,052","0,0000078","0,0000009080235863","0,00000004721722649","0,000007799922606","0,006053490575","0,018","3,000",Médio
140,77618863,320010213000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,101","0,005","0,005","4,581","21,82770705","0,001","0,000","0,001",48.980,34,0,34,"3,00","13,60521731","24,33751742","10,882","0,0000875","0,000003595272208","0,00003912375217","0,00008749813973","0,4471285962","1,341","3,000",Médio
141,777496,320010213000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,309","0,003","0,003","0,825","121,1729898","0,000","0,000","0,000",48.980,1,0,1,"5,00","13,60521731","48,76332765","0,154",0,0,0,0,0,"0,000","0,000",#N/A
142,7761888,320010213000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,031","0,016","0,016","52,021","1,922317766","0,090","0,000","0,090",48.980,4.418,0,4.418,"3,00","13,60521731","7,48976711","0,22",0,0,0,0,0,"0,000","0,000",#N/A
143,7761887,320010213000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,188","0,010","0,074","39,343","2,541740286","0,052","0,000","0,052",48.980,2.527,0,2.527,"3,00","13,60521731","7,15378025","0,076",0,0,0,0,0,"0,000","0,000",#N/A
144,77618861,320010213000002,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,166","0,011","0,016","9,812","10,19131902","0,003","0,000","0,003",48.980,157,0,157,"3,00","13,60521731","8,590085233","2,274","0,0000078","0,0000009080235863","0,000002064845635","0,000007799922606","0,2647237994","0,794","3,000",Médio
145,777498,320010213000003,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,233","0,001","0,001","0,474","210,7609815","0,000","0,000","0,000",48.980,0,0,0,"5,00","21,80792145","36,78938095","0,084",0,0,0,0,0,"0,000","0,000",#N/A
146,77618942,320010213000003,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,037","0,001","0,001","2,005","49,88096952","0,000","0,000","0,000",48.980,7,0,7,"5,00","21,80792145","8,86465917","0,192",0,0,0,0,0,"0,000","0,000",#N/A
147,77618941,320010213000003,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,267","0,014","0,016","5,903","16,94099133","0,001","0,000","0,001",48.980,57,0,57,"3,00","21,80792145","37,1951145","0,025",0,0,0,0,0,"0,000","0,000",#N/A
148,77618863,320010213000003,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,101","0,005","0,005","4,581","21,82770705","0,001","0,000","0,001",48.980,34,0,34,"3,00","21,80792145","24,33751742","12,687","0,0000875","0,000003595272208","0,00004561321851","0,00008749813973","0,5212939258","1,564","3,000",Médio
