fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,disp/dem,,,,dmu_nu_popurbana,ihu_nu_popriscoinerente,ihu_nu_popriscoposdeficit,ihu_nu_popriscototal,ihu_cs_ish,area_setor,area_otto,area_scbc,deman_indus,densidade,pop_urb_scbc,pop_urb_bacia,perc_scbc,ihu_rel,ire_cs_hum,
Chave primária única da poção do setor cencitário,Código da respectiva ottobacia (BHO 2017) onde está a porção do setor censitário.,Código IBGE da porção do setor cencitário,Tipo de setor censitário (rural,Código do município,Nome do município,Unidade da Federação,"Situação do setor, se é urbana (1, 2 e 3) ou rural (demais valores)",disp_q95,dem_ret20,dem_acm,bal_perc,Inverso do balaço Hídrico (adm),Fator iminente,Fator pós deificit,Fator de Risco ,VAB - Municipio ,VAB (mil R$) Risco inerente, Valor de população (nº habitantes) em risco pós-déficit., Valor de população (nº habitantes) em risco total.,Classe (1-5) do Índice de Segurança Hídrica do município associado à sua população urbana (depende da projeção da população urbana de 2035),Área total do setor censitário (km²) ,Área total da ottobacia (km²) ,Área do setor censitário interno à ottobacia (km²),Demanda industrial por BHO (m³/s) (tabela balanços  2020),Densidade da demanda industrial na BHO (m³/s . km²) (tabela balanços 2020),Demanda industrial estimada da porção do setor cencitário interno à ottobacia (m³/s) ,Demanda industrial estimada para a ottobacia (m³/s) ,Percentual da demanda industrial na porção do setor cencitário que está na ottobacia em relação à demanda industrial total da ottobacia,Classe (1-5) do Índice de Segurança Hídrica associado à população urbana da porção do setor censitário interno a cada ottobacia.,Classe (1-5) do Índice de Segurança Hídrica da ottobacia associado à sua população urbana.,
9512,777615,320280105000044,Urbana,3202801,Itapemirim,Espírito Santo,1,"26,631","0,129","3,038","11,408","8,765484356","0,004","0,000","0,004",4.062.152,17.623,0,17.623,"3,00","0,2456660198","1,280452605","0,228","0,002858","0,002232023262","0,0005089013037","0,002859221798","0,1780620377","0,534","3,001",Médio
9513,777615,320280105000045,Urbana,3202801,Itapemirim,Espírito Santo,1,"26,631","0,129","3,038","11,408","8,765484356","0,004","0,000","0,004",4.062.152,17.623,0,17.623,"3,00","0,1694249971","1,280452605","0,15","0,002858","0,002232023262","0,0003348034893","0,002859221798","0,1171460774","0,351","3,001",Médio
9514,777614,320280105000045,Urbana,3202801,Itapemirim,Espírito Santo,1,"0,033","0,007","0,007","21,657","4,617468156","0,016","0,000","0,016",4.062.152,63.508,0,63.508,"3,00","0,1694249971","7,165076154","0,019","0,004845","0,0006761965813","0,00001284773504","0,004843596112","0,002651751299","0,008","2,999",Médio
9515,7775835,320280109000005,Urbana,3202801,Itapemirim,Espírito Santo,1,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","0,3417878155","13,55918792","0,011","0,000505","0,00003724411838","0,0000004096853022","0,0005049930011","0,0008112580241","0,002","3,000",Médio
9516,7775844,320280109000021,Rural,3202801,Itapemirim,Espírito Santo,5,"0,055","0,003","0,003","4,995","20,01879061","0,001","0,000","0,001",4.062.152,3.379,0,3.379,"3,00","0,1669325427","8,724194151","0,167","0,001265","0,0001449990656","0,00002421484396","0,001265116847","0,01914216913","0,057","3,000",Médio
9517,777585,320280109000022,Rural,3202801,Itapemirim,Espírito Santo,8,"2,728","0,000","0,127","4,662","21,44955655","0,001","0,000","0,001",4.062.152,2.943,0,2.943,"3,00","14,271997","3,313097089","0,003",0,0,0,0,0,"0,000","0,000",#N/A
9518,7775835,320280109000022,Rural,3202801,Itapemirim,Espírito Santo,8,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","14,271997","13,55918792","1,057","0,000505","0,00003724411838","0,00003936703313","0,0005049930011","0,07795452104","0,234","3,000",Médio
9519,7775843,320280109000022,Rural,3202801,Itapemirim,Espírito Santo,8,"0,158","0,000","0,009","5,777","17,30966683","0,001","0,000","0,001",4.062.152,4.519,0,4.519,"3,00","14,271997","2,417559942","1,426",0,0,0,0,0,"0,000","0,000",#N/A
9520,7775841,320280109000022,Rural,3202801,Itapemirim,Espírito Santo,8,"0,297","0,001","0,015","5,157","19,3909622","0,001","0,000","0,001",4.062.152,3.601,0,3.601,"3,00","14,271997","5,450311413","2,648",0,0,0,0,0,"0,000","0,000",#N/A
9521,7775845,320280109000022,Rural,3202801,Itapemirim,Espírito Santo,8,"0,087","0,001","0,006","6,925","14,44071796","0,002","0,000","0,002",4.062.152,6.493,0,6.493,"3,00","14,271997","5,33640505","0,502",0,0,0,0,0,"0,000","0,000",#N/A
9522,7775844,320280109000022,Rural,3202801,Itapemirim,Espírito Santo,8,"0,055","0,003","0,003","4,995","20,01879061","0,001","0,000","0,001",4.062.152,3.379,0,3.379,"3,00","14,271997","8,724194151","6,722","0,001265","0,0001449990656","0,000974683719","0,001265116847","0,7705009636","2,312","3,000",Médio
9523,777585,320280109000023,Rural,3202801,Itapemirim,Espírito Santo,8,"2,728","0,000","0,127","4,662","21,44955655","0,001","0,000","0,001",4.062.152,2.943,0,2.943,"3,00","4,284303918","3,313097089","0,002",0,0,0,0,0,"0,000","0,000",#N/A
9524,7775835,320280109000023,Rural,3202801,Itapemirim,Espírito Santo,8,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","4,284303918","13,55918792","3,615","0,000505","0,00003724411838","0,0001346374879","0,0005049930011","0,266608887","0,800","3,000",Médio
9525,7775841,320280109000023,Rural,3202801,Itapemirim,Espírito Santo,8,"0,297","0,001","0,015","5,157","19,3909622","0,001","0,000","0,001",4.062.152,3.601,0,3.601,"3,00","4,284303918","5,450311413","0,402",0,0,0,0,0,"0,000","0,000",#N/A
9526,7775834,320280109000029,Urbana,3202801,Itapemirim,Espírito Santo,1,"0,061","0,003","0,003","4,870","20,53287364","0,001","0,000","0,001",4.062.152,3.212,0,3.212,"3,00","0,07240310399","9,621106797","0,022","0,002085","0,0002167110338","0,000004767642743","0,002084760145","0,002286639205","0,007","3,000",Médio
9527,777612,320280109000030,Rural,3202801,Itapemirim,Espírito Santo,8,"0,042","0,003","0,003","6,068","16,48025734","0,001","0,000","0,001",4.062.152,4.985,0,4.985,"3,00","6,275592599","6,568446183","0,885",0,0,0,0,0,"0,000","0,000",#N/A
9528,7775845,320280109000030,Rural,3202801,Itapemirim,Espírito Santo,8,"0,087","0,001","0,006","6,925","14,44071796","0,002","0,000","0,002",4.062.152,6.493,0,6.493,"3,00","6,275592599","5,33640505","0,076",0,0,0,0,0,"0,000","0,000",#N/A
9529,7775844,320280109000030,Rural,3202801,Itapemirim,Espírito Santo,8,"0,055","0,003","0,003","4,995","20,01879061","0,001","0,000","0,001",4.062.152,3.379,0,3.379,"3,00","6,275592599","8,724194151","1,722","0,001265","0,0001449990656","0,000249688391","0,001265116847","0,1973821272","0,592","3,000",Médio
9530,7775844,320280109000033,Rural,3202801,Itapemirim,Espírito Santo,5,"0,055","0,003","0,003","4,995","20,01879061","0,001","0,000","0,001",4.062.152,3.379,0,3.379,"3,00","0,1139422525","8,724194151","0,114","0,001265","0,0001449990656","0,00001652989348","0,001265116847","0,01306710947","0,039","3,000",Médio
9531,7775835,320280109000040,Urbana,3202801,Itapemirim,Espírito Santo,1,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","0,8497666389","13,55918792","0,541","0,000505","0,00003724411838","0,00002014906804","0,0005049930011","0,03989914464","0,120","3,000",Médio
9532,7775835,320280109000041,Urbana,3202801,Itapemirim,Espírito Santo,1,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","0,6050288581","13,55918792","0,578","0,000505","0,00003724411838","0,00002152710042","0,0005049930011","0,04262792163","0,128","3,000",Médio
9533,7775834,320280109000041,Urbana,3202801,Itapemirim,Espírito Santo,1,"0,061","0,003","0,003","4,870","20,53287364","0,001","0,000","0,001",4.062.152,3.212,0,3.212,"3,00","0,6050288581","9,621106797","0,027","0,002085","0,0002167110338","0,000005851197912","0,002084760145","0,002806329934","0,008","3,000",Médio
9534,7775835,320280109000042,Urbana,3202801,Itapemirim,Espírito Santo,1,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","0,03780121258","13,55918792",0,"0,000505","0,00003724411838",0,"0,0005049930011",0,"0,000","3,000",Médio
9535,7775835,320280109000044,Urbana,3202801,Itapemirim,Espírito Santo,1,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","0,08912508911","13,55918792","0,043","0,000505","0,00003724411838","0,00000160149709","0,0005049930011","0,003171281367","0,010","3,000",Médio
9536,7775834,320280109000044,Urbana,3202801,Itapemirim,Espírito Santo,1,"0,061","0,003","0,003","4,870","20,53287364","0,001","0,000","0,001",4.062.152,3.212,0,3.212,"3,00","0,08912508911","9,621106797","0,022","0,002085","0,0002167110338","0,000004767642743","0,002084760145","0,002286639205","0,007","3,000",Médio
9537,7775835,320280109000045,Urbana,3202801,Itapemirim,Espírito Santo,1,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","0,05975657309","13,55918792","0,001","0,000505","0,00003724411838","0,00000003724411838","0,0005049930011","0,00007375072946","0,000","3,000",Médio
9538,7775835,320280109000046,Urbana,3202801,Itapemirim,Espírito Santo,1,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","0,04168094339","13,55918792",0,"0,000505","0,00003724411838",0,"0,0005049930011",0,"0,000","3,000",Médio
9539,7775835,320280109000048,Urbana,3202801,Itapemirim,Espírito Santo,1,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","0,2337845551","13,55918792","0,005","0,000505","0,00003724411838","0,0000001862205919","0,0005049930011","0,0003687536473","0,001","3,000",Médio
9540,7775834,320280109000048,Urbana,3202801,Itapemirim,Espírito Santo,1,"0,061","0,003","0,003","4,870","20,53287364","0,001","0,000","0,001",4.062.152,3.212,0,3.212,"3,00","0,2337845551","9,621106797","0,225","0,002085","0,0002167110338","0,0000487599826","0,002084760145","0,02338608278","0,070","3,000",Médio
9541,7775835,320280109000049,Urbana,3202801,Itapemirim,Espírito Santo,2,"3,110","0,002","0,145","4,651","21,50234394","0,001","0,000","0,001",4.062.152,2.929,0,2.929,"3,00","1,135022385","13,55918792","0,474","0,000505","0,00003724411838","0,00001765371211","0,0005049930011","0,03495784576","0,105","3,000",Médio
9542,7775834,320280109000049,Urbana,3202801,Itapemirim,Espírito Santo,2,"0,061","0,003","0,003","4,870","20,53287364","0,001","0,000","0,001",4.062.152,3.212,0,3.212,"3,00","1,135022385","9,621106797","0,661","0,002085","0,0002167110338","0,0001432459933","0,002084760145","0,0687031143","0,206","3,000",Médio
9543,7775834,320280109000050,Urbana,3202801,Itapemirim,Espírito Santo,1,"0,061","0,003","0,003","4,870","20,53287364","0,001","0,000","0,001",4.062.152,3.212,0,3.212,"3,00","0,3082109917","9,621106797","0,069","0,002085","0,0002167110338","0,00001495306133","0,002084760145","0,007171732053","0,022","3,000",Médio
9544,7775834,320280109000051,Urbana,3202801,Itapemirim,Espírito Santo,2,"0,061","0,003","0,003","4,870","20,53287364","0,001","0,000","0,001",4.062.152,3.212,0,3.212,"3,00","4,927854287","9,621106797","2,254","0,002085","0,0002167110338","0,0004884666701","0,002084760145","0,2342765804","0,703","3,000",Médio
9545,777633,320280110000001,Urbana,3202801,Itapemirim,Espírito Santo,2,"23,011","0,029","2,426","10,544","9,484206081","0,004","0,000","0,004",4.062.152,15.053,0,15.053,"3,00","0,7830117964","80,44973692","0,783",0,0,0,0,0,"0,000","0,000",#N/A
9546,777634,320280110000002,Rural,3202801,Itapemirim,Espírito Santo,8,"0,173","0,003","0,003","1,845","54,19061374","0,000","0,000","0,000",4.062.152,461,0,461,"3,00","31,1256659","37,75728228","8,33",0,0,0,0,0,"0,000","0,000",#N/A
9547,7776351,320280110000002,Rural,3202801,Itapemirim,Espírito Santo,8,"22,470","0,009","2,394","10,656","9,384116447","0,004","0,000","0,004",4.062.152,15.376,0,15.376,"3,00","31,1256659","50,11241659","0,004","0,003579","0,00007141942543","0,0000002856777017","0,003579041667","0,00007982053695","0,000","3,000",Médio
9548,777633,320280110000002,Rural,3202801,Itapemirim,Espírito Santo,8,"23,011","0,029","2,426","10,544","9,484206081","0,004","0,000","0,004",4.062.152,15.053,0,15.053,"3,00","31,1256659","80,44973692","22,792",0,0,0,0,0,"0,000","0,000",#N/A
9549,77758771,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"1,796","0,000","0,093","5,177","19,3167517","0,001","0,000","0,001",4.062.152,3.629,0,3.629,"3,00","29,27426235","1,179080058","0,922",0,0,0,0,0,"0,000","0,000",#N/A
9550,7776317,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"23,303","0,002","2,431","10,434","9,584020441","0,004","0,000","0,004",4.062.152,14.741,0,14.741,"3,00","29,27426235","26,28728101","3,332",0,0,0,0,0,"0,000","0,000",#N/A
9551,777634,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"0,173","0,003","0,003","1,845","54,19061374","0,000","0,000","0,000",4.062.152,461,0,461,"3,00","29,27426235","37,75728228",0,0,0,0,0,0,"0,000","0,000",#N/A
9552,77758773,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"1,738","0,002","0,088","5,035","19,85963976","0,001","0,000","0,001",4.062.152,3.433,0,3.433,"3,00","29,27426235","8,418253319","0,676",0,0,0,0,0,"0,000","0,000",#N/A
9553,77758754,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"0,032","0,000","0,000","1,480","67,55905401","0,000","0,000","0,000",4.062.152,297,0,297,"3,00","29,27426235","5,011533167","2,793",0,0,0,0,0,"0,000","0,000",#N/A
9554,77758752,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"0,055","0,001","0,001","1,349","74,10474964","0,000","0,000","0,000",4.062.152,247,0,247,"3,00","29,27426235","8,714065462","0,19",0,0,0,0,0,"0,000","0,000",#N/A
9555,77758755,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"2,011","0,000","0,113","5,610","17,82474243","0,001","0,000","0,001",4.062.152,4.262,0,4.262,"3,00","29,27426235","1,265439766","0,256",0,0,0,0,0,"0,000","0,000",#N/A
9556,77758772,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"0,050","0,005","0,005","10,380","9,633862262","0,004","0,000","0,004",4.062.152,14.589,0,14.589,"3,00","29,27426235","7,933847167","6,255",0,0,0,0,0,"0,000","0,000",#N/A
9557,777633,320280110000003,Rural,3202801,Itapemirim,Espírito Santo,8,"23,011","0,029","2,426","10,544","9,484206081","0,004","0,000","0,004",4.062.152,15.053,0,15.053,"3,00","29,27426235","80,44973692","14,85",0,0,0,0,0,"0,000","0,000",#N/A
9558,7776317,320280110000004,Rural,3202801,Itapemirim,Espírito Santo,8,"23,303","0,002","2,431","10,434","9,584020441","0,004","0,000","0,004",4.062.152,14.741,0,14.741,"3,00","8,950660351","26,28728101","5,99",0,0,0,0,0,"0,000","0,000",#N/A
9559,777633,320280110000004,Rural,3202801,Itapemirim,Espírito Santo,8,"23,011","0,029","2,426","10,544","9,484206081","0,004","0,000","0,004",4.062.152,15.053,0,15.053,"3,00","8,950660351","80,44973692","2,961",0,0,0,0,0,"0,000","0,000",#N/A
9560,7775874,320280114000001,Urbana,3202801,Itapemirim,Espírito Santo,1,"0,095","0,001","0,001","1,365","73,25410318","0,000","0,000","0,000",4.062.152,252,0,252,"3,00","0,08257570424","15,02764553","0,083",0,0,0,0,0,"0,000","0,000",#N/A
9561,7775874,320280114000002,Rural,3202801,Itapemirim,Espírito Santo,8,"0,095","0,001","0,001","1,365","73,25410318","0,000","0,000","0,000",4.062.152,252,0,252,"3,00","16,38750066","15,02764553","4,733",0,0,0,0,0,"0,000","0,000",#N/A
9562,7776317,320280114000002,Rural,3202801,Itapemirim,Espírito Santo,8,"23,303","0,002","2,431","10,434","9,584020441","0,004","0,000","0,004",4.062.152,14.741,0,14.741,"3,00","16,38750066","26,28728101","4,122",0,0,0,0,0,"0,000","0,000",#N/A
9563,77758754,320280114000002,Rural,3202801,Itapemirim,Espírito Santo,8,"0,032","0,000","0,000","1,480","67,55905401","0,000","0,000","0,000",4.062.152,297,0,297,"3,00","16,38750066","5,011533167","0,45",0,0,0,0,0,"0,000","0,000",#N/A
9564,77758752,320280114000002,Rural,3202801,Itapemirim,Espírito Santo,8,"0,055","0,001","0,001","1,349","74,10474964","0,000","0,000","0,000",4.062.152,247,0,247,"3,00","16,38750066","8,714065462","6,973",0,0,0,0,0,"0,000","0,000",#N/A
9565,7776316,320280114000002,Rural,3202801,Itapemirim,Espírito Santo,8,"0,039","0,002","0,002","3,828","26,12165353","0,000","0,000","0,000",4.062.152,1.984,0,1.984,"3,00","16,38750066","8,554576781","0,11",0,0,0,0,0,"0,000","0,000",#N/A
9566,77758751,320280114000003,Rural,3202801,Itapemirim,Espírito Santo,8,"2,109","0,000","0,115","5,431","18,41280417","0,001","0,000","0,001",4.062.152,3.994,0,3.994,"3,00","14,4061879","0,6718656564","0,304",0,0,0,0,0,"0,000","0,000",#N/A
9567,7775874,320280114000003,Rural,3202801,Itapemirim,Espírito Santo,8,"0,095","0,001","0,001","1,365","73,25410318","0,000","0,000","0,000",4.062.152,252,0,252,"3,00","14,4061879","15,02764553","7,47",0,0,0,0,0,"0,000","0,000",#N/A
9568,77758753,320280114000003,Rural,3202801,Itapemirim,Espírito Santo,8,"2,050","0,000","0,114","5,538","18,05659543","0,001","0,000","0,001",4.062.152,4.153,0,4.153,"3,00","14,4061879","1,144230779","0,383",0,0,0,0,0,"0,000","0,000",#N/A
9569,77758754,320280114000003,Rural,3202801,Itapemirim,Espírito Santo,8,"0,032","0,000","0,000","1,480","67,55905401","0,000","0,000","0,000",4.062.152,297,0,297,"3,00","14,4061879","5,011533167","1,769",0,0,0,0,0,"0,000","0,000",#N/A
9570,7775872,320280114000003,Rural,3202801,Itapemirim,Espírito Santo,8,"0,087","0,001","0,001","1,414","70,71100685","0,000","0,000","0,000",4.062.152,271,0,271,"3,00","14,4061879","13,68101662","1,187",0,0,0,0,0,"0,000","0,000",#N/A
9571,77758752,320280114000003,Rural,3202801,Itapemirim,Espírito Santo,8,"0,055","0,001","0,001","1,349","74,10474964","0,000","0,000","0,000",4.062.152,247,0,247,"3,00","14,4061879","8,714065462","1,551",0,0,0,0,0,"0,000","0,000",#N/A
9572,77758755,320280114000003,Rural,3202801,Itapemirim,Espírito Santo,8,"2,011","0,000","0,113","5,610","17,82474243","0,001","0,000","0,001",4.062.152,4.262,0,4.262,"3,00","14,4061879","1,265439766","0,22",0,0,0,0,0,"0,000","0,000",#N/A
9573,77758735,320280114000003,Rural,3202801,Itapemirim,Espírito Santo,8,"2,232","0,001","0,116","5,215","19,17390536","0,001","0,000","0,001",4.062.152,3.683,0,3.683,"3,00","14,4061879","4,386942596","1,521",0,0,0,0,0,"0,000","0,000",#N/A
9574,77758731,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"2,366","0,000","0,119","5,030","19,88072278","0,001","0,000","0,001",4.062.152,3.426,0,3.426,"3,00","21,61119741","1,779239339","0,632",0,0,0,0,0,"0,000","0,000",#N/A
9575,77758733,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"2,293","0,000","0,118","5,125","19,51226196","0,001","0,000","0,001",4.062.152,3.556,0,3.556,"3,00","21,61119741","0,3570474662","0,321",0,0,0,0,0,"0,000","0,000",#N/A
9576,777585,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"2,728","0,000","0,127","4,662","21,44955655","0,001","0,000","0,001",4.062.152,2.943,0,2.943,"3,00","21,61119741","3,313097089","2,177",0,0,0,0,0,"0,000","0,000",#N/A
9577,7775843,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"0,158","0,000","0,009","5,777","17,30966683","0,001","0,000","0,001",4.062.152,4.519,0,4.519,"3,00","21,61119741","2,417559942","0,018",0,0,0,0,0,"0,000","0,000",#N/A
9578,7775841,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"0,297","0,001","0,015","5,157","19,3909622","0,001","0,000","0,001",4.062.152,3.601,0,3.601,"3,00","21,61119741","5,450311413","2,401",0,0,0,0,0,"0,000","0,000",#N/A
9579,7775872,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"0,087","0,001","0,001","1,414","70,71100685","0,000","0,000","0,000",4.062.152,271,0,271,"3,00","21,61119741","13,68101662","9,434",0,0,0,0,0,"0,000","0,000",#N/A
9580,7775842,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"0,105","0,006","0,006","5,343","18,71705368","0,001","0,000","0,001",4.062.152,3.865,0,3.865,"3,00","21,61119741","16,57803124","1,915",0,0,0,0,0,"0,000","0,000",#N/A
9581,77758735,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"2,232","0,001","0,116","5,215","19,17390536","0,001","0,000","0,001",4.062.152,3.683,0,3.683,"3,00","21,61119741","4,386942596","1,991",0,0,0,0,0,"0,000","0,000",#N/A
9582,7775871,320280114000004,Rural,3202801,Itapemirim,Espírito Santo,8,"2,479","0,000","0,121","4,866","20,54890842","0,001","0,000","0,001",4.062.152,3.207,0,3.207,"3,00","21,61119741","4,192383519","2,723",0,0,0,0,0,"0,000","0,000",#N/A
9583,7775874,320280114000007,Rural,3202801,Itapemirim,Espírito Santo,8,"0,095","0,001","0,001","1,365","73,25410318","0,000","0,000","0,000",4.062.152,252,0,252,"3,00","14,32410244","15,02764553","1,766",0,0,0,0,0,"0,000","0,000",#N/A
9584,7776317,320280114000007,Rural,3202801,Itapemirim,Espírito Santo,8,"23,303","0,002","2,431","10,434","9,584020441","0,004","0,000","0,004",4.062.152,14.741,0,14.741,"3,00","14,32410244","26,28728101","0,304",0,0,0,0,0,"0,000","0,000",#N/A
9585,7776314,320280114000007,Rural,3202801,Itapemirim,Espírito Santo,8,"0,056","0,003","0,003","5,326","18,77574429","0,001","0,000","0,001",4.062.152,3.841,0,3.841,"3,00","14,32410244","12,22721104","4,444",0,0,0,0,0,"0,000","0,000",#N/A
9586,7776316,320280114000007,Rural,3202801,Itapemirim,Espírito Santo,8,"0,039","0,002","0,002","3,828","26,12165353","0,000","0,000","0,000",4.062.152,1.984,0,1.984,"3,00","14,32410244","8,554576781","6,865",0,0,0,0,0,"0,000","0,000",#N/A
9587,7776315,320280114000007,Rural,3202801,Itapemirim,Espírito Santo,8,"23,376","0,001","2,434","10,411","9,605563925","0,004","0,000","0,004",4.062.152,14.675,0,14.675,"3,00","14,32410244","7,201594511","0,946",0,0,0,0,0,"0,000","0,000",#N/A
9588,7776317,320280114000008,Urbana,3202801,Itapemirim,Espírito Santo,2,"23,303","0,002","2,431","10,434","9,584020441","0,004","0,000","0,004",4.062.152,14.741,0,14.741,"3,00","4,754708957","26,28728101","1,306",0,0,0,0,0,"0,000","0,000",#N/A
9589,7776314,320280114000008,Urbana,3202801,Itapemirim,Espírito Santo,2,"0,056","0,003","0,003","5,326","18,77574429","0,001","0,000","0,001",4.062.152,3.841,0,3.841,"3,00","4,754708957","12,22721104","0,275",0,0,0,0,0,"0,000","0,000",#N/A
9590,7776316,320280114000008,Urbana,3202801,Itapemirim,Espírito Santo,2,"0,039","0,002","0,002","3,828","26,12165353","0,000","0,000","0,000",4.062.152,1.984,0,1.984,"3,00","4,754708957","8,554576781","0,692",0,0,0,0,0,"0,000","0,000",#N/A
9591,7776315,320280114000008,Urbana,3202801,Itapemirim,Espírito Santo,2,"23,376","0,001","2,434","10,411","9,605563925","0,004","0,000","0,004",4.062.152,14.675,0,14.675,"3,00","4,754708957","7,201594511","2,483",0,0,0,0,0,"0,000","0,000",#N/A
9592,7775843,320280114000009,Rural,3202801,Itapemirim,Espírito Santo,8,"0,158","0,000","0,009","5,777","17,30966683","0,001","0,000","0,001",4.062.152,4.519,0,4.519,"3,00","14,88113401","2,417559942","0,695",0,0,0,0,0,"0,000","0,000",#N/A
9593,7776314,320280114000009,Rural,3202801,Itapemirim,Espírito Santo,8,"0,056","0,003","0,003","5,326","18,77574429","0,001","0,000","0,001",4.062.152,3.841,0,3.841,"3,00","14,88113401","12,22721104","0,203",0,0,0,0,0,"0,000","0,000",#N/A
9594,7775872,320280114000009,Rural,3202801,Itapemirim,Espírito Santo,8,"0,087","0,001","0,001","1,414","70,71100685","0,000","0,000","0,000",4.062.152,271,0,271,"3,00","14,88113401","13,68101662","2,11",0,0,0,0,0,"0,000","0,000",#N/A
9595,7775842,320280114000009,Rural,3202801,Itapemirim,Espírito Santo,8,"0,105","0,006","0,006","5,343","18,71705368","0,001","0,000","0,001",4.062.152,3.865,0,3.865,"3,00","14,88113401","16,57803124","10,543",0,0,0,0,0,"0,000","0,000",#N/A
9596,77763122,320280114000009,Rural,3202801,Itapemirim,Espírito Santo,8,"0,030","0,004","0,004","13,988","7,148757583","0,007","0,000","0,007",4.062.152,26.496,0,26.496,"3,00","14,88113401","6,507013812","1,33",0,0,0,0,0,"0,000","0,000",#N/A
9597,7775874,320280114000010,Rural,3202801,Itapemirim,Espírito Santo,8,"0,095","0,001","0,001","1,365","73,25410318","0,000","0,000","0,000",4.062.152,252,0,252,"3,00","5,901079708","15,02764553","0,977",0,0,0,0,0,"0,000","0,000",#N/A
9598,77763123,320280114000010,Rural,3202801,Itapemirim,Espírito Santo,8,"0,031","0,001","0,001","2,114","47,29597123","0,000","0,000","0,000",4.062.152,605,0,605,"3,00","5,901079708","6,690772764","0,025",0,0,0,0,0,"0,000","0,000",#N/A
9599,7776314,320280114000010,Rural,3202801,Itapemirim,Espírito Santo,8,"0,056","0,003","0,003","5,326","18,77574429","0,001","0,000","0,001",4.062.152,3.841,0,3.841,"3,00","5,901079708","12,22721104","1,741",0,0,0,0,0,"0,000","0,000",#N/A
9600,7775872,320280114000010,Rural,3202801,Itapemirim,Espírito Santo,8,"0,087","0,001","0,001","1,414","70,71100685","0,000","0,000","0,000",4.062.152,271,0,271,"3,00","5,901079708","13,68101662","0,95",0,0,0,0,0,"0,000","0,000",#N/A
9601,7776316,320280114000010,Rural,3202801,Itapemirim,Espírito Santo,8,"0,039","0,002","0,002","3,828","26,12165353","0,000","0,000","0,000",4.062.152,1.984,0,1.984,"3,00","5,901079708","8,554576781","0,884",0,0,0,0,0,"0,000","0,000",#N/A
9602,7775842,320280114000010,Rural,3202801,Itapemirim,Espírito Santo,8,"0,105","0,006","0,006","5,343","18,71705368","0,001","0,000","0,001",4.062.152,3.865,0,3.865,"3,00","5,901079708","16,57803124","1,325",0,0,0,0,0,"0,000","0,000",#N/A
9603,77763121,320280114000011,Rural,3202801,Itapemirim,Espírito Santo,8,"0,062","0,000","0,005","8,049","12,42385172","0,002","0,000","0,002",4.062.152,8.772,0,8.772,"3,00","18,45511979","0,4364959969","0,433",0,0,0,0,0,"0,000","0,000",#N/A
9604,777617,320280114000011,Rural,3202801,Itapemirim,Espírito Santo,8,"26,588","0,000","2,886","10,855","9,212338678","0,004","0,000","0,004",4.062.152,15.955,0,15.955,"3,00","18,45511979","1,82809274","0,745",0,0,0,0,0,"0,000","0,000",#N/A
9605,7776311,320280114000011,Rural,3202801,Itapemirim,Espírito Santo,8,"23,541","0,000","2,442","10,375","9,638746753","0,004","0,000","0,004",4.062.152,14.575,0,14.575,"3,00","18,45511979","7,604308257","3,641",0,0,0,0,0,"0,000","0,000",#N/A
