Unnamed: 0,id,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,dmu_nu_poptotal,dmu_nu_popurbana,dmu_nu_poprural,ihu_pc_cobrede,classe_ish_mun,area_setor,area_otto,area_scbc,pop,pop_urb_scbc,pop_urb_bacia,ihu_rel,classe_ish_otto,disp_por_dem,fator_iminente,fator_pos_deficit,fator_de_risco_total,irri_arroz,irri_cafe,irri_cana,irri_oc,irri_total
17,18,7761883,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,652","0,001","0,137","21,039",172981,18362,,"0,812",Alto,"26,09649438","3,014079775","0,002",340,0,0,0,,4.753077617757498,0.0147546507,0.0,0.0147546507,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
18,19,7761881,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,719",0,"0,139","19,321",172981,18362,,"0,812",Alto,"26,09649438","5,879590608","3,79",340,0,"727,8276323",0,Alto,5.175715542673775,0.012443368033333332,0.0,0.012443368033333332,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
19,20,77618781,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511",172981,18362,,"0,812",Alto,"26,09649438","12,35846499","3,463",340,0,"2617,085215",0,Alto,4.079800905715802,0.020026304033333327,0.0,0.020026304033333327,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
20,21,77617296,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,021","0,001","0,001","3,852",172981,18362,,"0,812",Alto,"26,09649438","19,73185058","0,001",340,0,0,0,,25.96053997923157,0.0004945968,0.0,0.0004945968,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
21,22,776188423,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,05","0,001","0,001","1,619",172981,18362,,"0,812",Alto,"26,09649438","11,99757524","0,182",340,0,0,0,,61.76652254478073,8.737203333333333e-05,0.0,8.737203333333333e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
22,23,77618841,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,224","0,002","0,032","14,187",172981,18362,,"0,812",Alto,"26,09649438","7,111517693","0,06",340,0,0,0,,7.04870656234581,0.006709032299999998,0.0,0.006709032299999998,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
23,24,7761876,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243",172981,18362,,"0,812",Alto,"43,25395984","17,03928558","15,079",545,0,0,0,,4.9399792520871415,0.01365930163333333,0.0,0.01365930163333333,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
24,25,77618747,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,064","0,001","0,001","0,892",172981,18362,,"0,812",Alto,"43,25395984","15,41486453","0,224",545,0,0,0,,112.10762331838565,2.6522133333333335e-05,0.0,2.6522133333333335e-05,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
25,26,7761885,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,415","0,014","0,104","25,186",172981,18362,,"0,812",Alto,"43,25395984","14,70934397","0,066",545,0,"95,07384658",0,Alto,3.9704597792424363,0.02114448653333333,0.0,0.02114448653333333,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
26,27,7761892,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,083","0,005","0,005","6,633",172981,18362,,"0,812",Alto,"43,25395984","19,94445926","19,701",545,0,0,0,,15.076134479119554,0.0014665562999999998,0.0,0.0014665562999999998,0.0,0.0,1370.29986525,118901.9191239,120272.21898915
