fid,COBACIA,cod_setor,tipo_setor,cod_mun,mun_nm,uf,situacao_setor,disp_q95,dem_ret_ano,dem_acm,bal_perc,disp/dem,fator_iminente,fator_pós_deficit,fator_de_risco_total,dmu_nu_popurbana,ihu_pc_risco_inerente,ihu_pc_riscoposdeficit,ihu_pc_risco,ihu_nu_popriscoinerente,ihu_nu_popriscoposdeficit,ihu_nu_popriscototal,ihu_pc_cobrede,ihu_cs_ish,ISH,area_setor,area_otto,area_scbc,deman_indus,densidade,pop_urb_scbc,pop_urb_bacia,perc_scbc,ihu_rel,ire_cs_hum,CORINGA,igh_ind
17,7761879,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"26,09649438","5,412990806","0,002","0,000135","0,00002494000172","0,00000004988000344","0,0001349503493","0,0003694815069","0,001","2,999",Médio,"13365,19"
18,7761883,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,652","0,001","0,137","21,039","4,753030134","0,015","0,000","0,015",48.980,"0,01475","0,00000","0,01475",723,0,723,1,"3,00",Médio,"26,09649438","3,014079775","0,002",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
19,7761881,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,719","0,000","0,139","19,321","5,175812055","0,012","0,000","0,012",48.980,"0,01244","0,00000","0,01244",609,0,609,1,"3,00",Médio,"26,09649438","5,879590608","3,79",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
20,77618781,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,"0,02003","0,00000","0,02003",981,0,981,1,"3,00",Médio,"26,09649438","12,35846499","3,463","0,0000275","0,000002225195445","0,000007705851825","0,00002749896531","0,2802127936","0,841","3,000",Médio,"5334,55"
21,77617296,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,021","0,001","0,001","3,852","25,96260001","0,000","0,000","0,000",48.980,"0,00049","0,00000","0,00049",24,0,24,1,"4,00",Alto,"26,09649438","19,73185058","0,001",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
22,776188423,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,050","0,001","0,001","1,619","61,74842272","0,000","0,000","0,000",48.980,"0,00009","0,00000","0,00009",4,0,4,1,"5,00",Máximo,"26,09649438","11,99757524","0,182",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
23,77618841,320010205000013,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,224","0,002","0,032","14,187","7,048773326","0,007","0,000","0,007",48.980,"0,00671","0,00000","0,00671",329,0,329,1,"3,00",Médio,"26,09649438","7,111517693","0,06",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
24,7761876,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243","4,940042626","0,014","0,000","0,014",48.980,"0,01366","0,00000","0,01366",669,0,669,1,"3,00",Médio,"43,25395984","17,03928558","15,079","0,000000679","0,00000003984908856","0,0000006008844063","0,0000006789886199","0,884954943","2,655","3,000",Médio,"103976,44"
25,77618747,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,064","0,001","0,001","0,892","112,1188526","0,000","0,000","0,000",48.980,"0,00003","0,00000","0,00003",1,0,1,1,"5,00",Máximo,"43,25395984","15,41486453","0,224",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
26,7761885,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,415","0,014","0,104","25,186","3,970452577","0,021","0,000","0,021",48.980,"0,02114","0,00000","0,02114",1.036,0,1.036,1,"3,00",Médio,"43,25395984","14,70934397","0,066",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
27,7761892,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,083","0,005","0,005","6,633","15,07588978","0,001","0,000","0,001",48.980,"0,00147","0,00000","0,00147",72,0,72,1,"3,00",Médio,"43,25395984","19,94445926","19,701",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
28,7761896,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,078","0,015","0,015","19,754","5,062163569","0,013","0,000","0,013",48.980,"0,01301","0,00000","0,01301",637,0,637,1,"3,00",Médio,"43,25395984","18,78872981","0,007",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
29,77618741,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018","14,24959527","0,002","0,000","0,002",48.980,"0,00164","0,00000","0,00164",80,0,80,1,"3,00",Médio,"43,25395984","8,876456731","0,018",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
30,77618951,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,635","0,000","0,097","15,213","6,573150844","0,008","0,000","0,008",48.980,"0,00771","0,00000","0,00771",378,0,378,1,"3,00",Médio,"43,25395984","4,10414405","0,134",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
31,7761875,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,060","0,003","0,354","17,171","5,823657968","0,010","0,000","0,010",48.980,"0,00983","0,00000","0,00983",481,0,481,1,"3,00",Médio,"43,25395984","7,532201575","0,04",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
32,7761891,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,063","0,039","0,157","14,801","6,756240828","0,007","0,000","0,007",48.980,"0,00730","0,00000","0,00730",358,0,358,1,"3,00",Médio,"43,25395984","14,185514","5,054",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
33,77618952,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029","0,000","0,000","0,856","116,8766174","0,000","0,000","0,000",48.980,"0,00002","0,00000","0,00002",1,0,1,1,"5,00",Máximo,"43,25395984","6,972290287","0,106",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
34,7761893,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,922","0,000","0,113","12,216","8,18621387","0,005","0,000","0,005",48.980,"0,00497","0,00000","0,00497",244,0,244,1,"3,00",Médio,"43,25395984","4,960294806","2,753",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
35,77618746,320010205000014,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,030","0,000","0,000","1,037","96,4259384","0,000","0,000","0,000",48.980,"0,00004","0,00000","0,00004",2,0,2,1,"5,00",Máximo,"43,25395984","7,190958538","0,072",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
36,7761842,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,038","0,003","0,003","7,136","14,01440428","0,002","0,000","0,002",48.980,"0,00170","0,00000","0,00170",83,0,83,1,"3,00",Médio,"28,93147498","9,169406532","0,426",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
37,7761846,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,121","0,018","0,018","15,009","6,662727717","0,008","0,000","0,008",48.980,"0,00751","0,00000","0,00751",368,0,368,1,"3,00",Médio,"28,93147498","29,28586492","0,48",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
38,77618723,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,048","0,003","0,003","5,412","18,47786259","0,001","0,000","0,001",48.980,"0,00098","0,00000","0,00098",48,0,48,1,"3,00",Médio,"28,93147498","11,54897345","11,412",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
39,77618717,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,545","0,006","0,389","15,297","6,537391591","0,008","0,000","0,008",48.980,"0,00780","0,00000","0,00780",382,0,382,1,"3,00",Médio,"28,93147498","8,001401319","0,011",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
40,77618721,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,117","0,002","0,005","4,145","24,12538711","0,001","0,000","0,001",48.980,"0,00057","0,00000","0,00057",28,0,28,1,"3,00",Médio,"28,93147498","7,645517396","7,273",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
41,77618722,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,038","0,000","0,000","0,796","125,5495477","0,000","0,000","0,000",48.980,"0,00002","0,00000","0,00002",1,0,1,1,"5,00",Máximo,"28,93147498","9,117857331","8,83",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
42,7761875,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,060","0,003","0,354","17,171","5,823657968","0,010","0,000","0,010",48.980,"0,00983","0,00000","0,00983",481,0,481,1,"3,00",Médio,"28,93147498","7,532201575","0,115",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
43,77618712,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,031","0,000","0,000","0,859","116,4805981","0,000","0,000","0,000",48.980,"0,00002","0,00000","0,00002",1,0,1,1,"5,00",Máximo,"28,93147498","7,364809749","0,181",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
44,77618781,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,"0,02003","0,00000","0,02003",981,0,981,1,"3,00",Médio,"28,93147498","12,35846499","0,063","0,0000275","0,000002225195445","0,000000140187313","0,00002749896531","0,005097720473","0,015","3,000",Médio,"5334,55"
45,77618782,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,026","0,010","0,010","39,673","2,520616539","0,052","0,000","0,052",48.980,"0,05246","0,00000","0,05246",2.570,0,2.570,1,"3,00",Médio,"28,93147498","6,176753509","0,131",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
46,7761873,320010205000015,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,395","0,002","0,378","15,803","6,328094903","0,008","0,000","0,008",48.980,"0,00832","0,00000","0,00832",408,0,408,1,"3,00",Médio,"28,93147498","1,554857374","0,008",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
47,7761876,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243","4,940042626","0,014","0,000","0,014",48.980,"0,01366","0,00000","0,01366",669,0,669,1,"3,00",Médio,"30,21045933","17,03928558","0,291","0,000000679","0,00000003984908856","0,00000001159608477","0,0000006789886199","0,01707818081","0,051","3,000",Médio,"103976,44"
48,77618747,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,064","0,001","0,001","0,892","112,1188526","0,000","0,000","0,000",48.980,"0,00003","0,00000","0,00003",1,0,1,1,"5,00",Máximo,"30,21045933","15,41486453","14,547",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
49,77618745,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,118","0,000","0,001","0,987","101,3164211","0,000","0,000","0,000",48.980,"0,00003","0,00000","0,00003",2,0,2,1,"5,00",Máximo,"30,21045933","5,903254563","5,468",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
50,7761892,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,083","0,005","0,005","6,633","15,07588978","0,001","0,000","0,001",48.980,"0,00147","0,00000","0,00147",72,0,72,1,"3,00",Médio,"30,21045933","19,94445926","0,042",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
51,77618741,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018","14,24959527","0,002","0,000","0,002",48.980,"0,00164","0,00000","0,00164",80,0,80,1,"3,00",Médio,"30,21045933","8,876456731","0,305",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
52,77618743,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,176","0,001","0,002","1,245","80,30091926","0,000","0,000","0,000",48.980,"0,00005","0,00000","0,00005",3,0,3,1,"5,00",Máximo,"30,21045933","3,878138721","1,891",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
53,77618744,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,042","0,000","0,000","0,767","130,3744074","0,000","0,000","0,000",48.980,"0,00002","0,00000","0,00002",1,0,1,1,"5,00",Máximo,"30,21045933","10,0836146","0,127",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
54,77618694,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,072","0,045","0,045","62,880","1,590327954","0,132","0,000","0,132",48.980,"0,13180","0,00000","0,13180",6.455,0,6.455,1,"2,00",Baixo,"30,21045933","17,35419788",0,0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
55,776187423,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,046","0,001","0,001","2,052","48,73623478","0,000","0,000","0,000",48.980,"0,00014","0,00000","0,00014",7,0,7,1,"5,00",Máximo,"30,21045933","11,1861034","0,399",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
56,77618693,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,603","0,002","0,069","11,366","8,798433501","0,004","0,000","0,004",48.980,"0,00431","0,00000","0,00431",211,0,211,1,"3,00",Médio,"30,21045933","8,607971012","0,022",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
57,77618746,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,030","0,000","0,000","1,037","96,4259384","0,000","0,000","0,000",48.980,"0,00004","0,00000","0,00004",2,0,2,1,"5,00",Máximo,"30,21045933","7,190958538","7,117",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
58,776187421,320010205000016,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,115","0,007","0,013","11,195","8,932472303","0,004","0,000","0,004",48.980,"0,00418","0,00000","0,00418",205,0,205,1,"3,00",Médio,"30,21045933","8,596874443","0,002",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
59,7761876,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,071","0,014","0,014","20,243","4,940042626","0,014","0,000","0,014",48.980,"0,01366","0,00000","0,01366",669,0,669,1,"3,00",Médio,"21,14824693","17,03928558","0,737","0,000000679","0,00000003984908856","0,00000002936877827","0,0000006789886199","0,04325298714","0,130","3,000",Médio,"103976,44"
60,77618745,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,118","0,000","0,001","0,987","101,3164211","0,000","0,000","0,000",48.980,"0,00003","0,00000","0,00003",2,0,2,1,"5,00",Máximo,"21,14824693","5,903254563","0,009",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
61,776187163,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029","0,005","0,005","16,063","6,225375668","0,009","0,000","0,009",48.980,"0,00860","0,00000","0,00860",421,0,421,1,"3,00",Médio,"21,14824693","7,070060083","0,074",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
62,7761877,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,959","0,001","0,336","17,160","5,827537251","0,010","0,000","0,010",48.980,"0,00982","0,00000","0,00982",481,0,481,1,"3,00",Médio,"21,14824693","1,827402027","1,419","0,0000143","0,000007825316919","0,00001110412471","0,00001429685401","0,7765122174","2,330","2,999",Médio,"136965,03"
63,77618741,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018","14,24959527","0,002","0,000","0,002",48.980,"0,00164","0,00000","0,00164",80,0,80,1,"3,00",Médio,"21,14824693","8,876456731","8,493",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
64,77618717,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,545","0,006","0,389","15,297","6,537391591","0,008","0,000","0,008",48.980,"0,00780","0,00000","0,00780",382,0,382,1,"3,00",Médio,"21,14824693","8,001401319","0,123",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
65,77618743,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,176","0,001","0,002","1,245","80,30091926","0,000","0,000","0,000",48.980,"0,00005","0,00000","0,00005",3,0,3,1,"5,00",Máximo,"21,14824693","3,878138721","0,035",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
66,77618721,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,117","0,002","0,005","4,145","24,12538711","0,001","0,000","0,001",48.980,"0,00057","0,00000","0,00057",28,0,28,1,"3,00",Médio,"21,14824693","7,645517396","0,175",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
67,7761879,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"1,804","0,003","0,299","16,575","6,033326143","0,009","0,000","0,009",48.980,"0,00916","0,00000","0,00916",449,0,449,1,"3,00",Médio,"21,14824693","5,412990806","0,066","0,000135","0,00002494000172","0,000001646040113","0,0001349503493","0,01219288973","0,037","2,999",Médio,"13365,19"
68,7761875,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,060","0,003","0,354","17,171","5,823657968","0,010","0,000","0,010",48.980,"0,00983","0,00000","0,00983",481,0,481,1,"3,00",Médio,"21,14824693","7,532201575","7,343",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
69,77618781,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,147","0,008","0,036","24,511","4,079779032","0,020","0,000","0,020",48.980,"0,02003","0,00000","0,02003",981,0,981,1,"3,00",Médio,"21,14824693","12,35846499","0,888","0,0000275","0,000002225195445","0,000001975973555","0,00002749896531","0,07185358382","0,216","3,000",Médio,"5334,55"
70,7761873,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"2,395","0,002","0,378","15,803","6,328094903","0,008","0,000","0,008",48.980,"0,00832","0,00000","0,00832",408,0,408,1,"3,00",Médio,"21,14824693","1,554857374","1,486",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
71,77618746,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,030","0,000","0,000","1,037","96,4259384","0,000","0,000","0,000",48.980,"0,00004","0,00000","0,00004",2,0,2,1,"5,00",Máximo,"21,14824693","7,190958538","0,002",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
72,776187421,320010205000017,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,115","0,007","0,013","11,195","8,932472303","0,004","0,000","0,004",48.980,"0,00418","0,00000","0,00418",205,0,205,1,"3,00",Médio,"21,14824693","8,596874443","0,298",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
73,77618747,320010205000018,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,064","0,001","0,001","0,892","112,1188526","0,000","0,000","0,000",48.980,"0,00003","0,00000","0,00003",1,0,1,1,"5,00",Máximo,"39,08970393","15,41486453","0,091",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
74,77618745,320010205000018,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,118","0,000","0,001","0,987","101,3164211","0,000","0,000","0,000",48.980,"0,00003","0,00000","0,00003",2,0,2,1,"5,00",Máximo,"39,08970393","5,903254563","0,427",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
75,776187163,320010205000018,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,029","0,005","0,005","16,063","6,225375668","0,009","0,000","0,009",48.980,"0,00860","0,00000","0,00860",421,0,421,1,"3,00",Médio,"39,08970393","7,070060083","0,249",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
76,77618741,320010205000018,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,328","0,008","0,023","7,018","14,24959527","0,002","0,000","0,002",48.980,"0,00164","0,00000","0,00164",80,0,80,1,"3,00",Médio,"39,08970393","8,876456731","0,001",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
77,77618636,320010205000018,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,055","0,006","0,006","10,877","9,194124071","0,004","0,000","0,004",48.980,"0,00394","0,00000","0,00394",193,0,193,1,"3,00",Médio,"39,08970393","13,34744771","0,006",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
78,77618743,320010205000018,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,176","0,001","0,002","1,245","80,30091926","0,000","0,000","0,000",48.980,"0,00005","0,00000","0,00005",3,0,3,1,"5,00",Máximo,"39,08970393","3,878138721","1,953",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
79,77618744,320010205000018,Rural,3200102,Afonso Cláudio,Espírito Santo,8,"0,042","0,000","0,000","0,767","130,3744074","0,000","0,000","0,000",48.980,"0,00002","0,00000","0,00002",1,0,1,1,"5,00",Máximo,"39,08970393","10,0836146","9,957",0,0,0,0,0,"0,000","0,000",#N/A,#DIV/0!
